Year,1B/H+BB+HBP,2B/H+BB+HBP,3B/H+BB+HBP,HR/H+BB+HBP,BB/H+BB+HBP,HBP/H+BB+HBP,R/G,SB/G,SO/G,SH/G
1988,0.515,0.127,0.017,0.063,0.259,0.018,4.14,0.79,5.56,0.39
1989,0.514,0.125,0.017,0.061,0.267,0.016,4.13,0.74,5.61,0.39
1990,0.507,0.127,0.017,0.064,0.269,0.017,4.26,0.78,5.67,0.37
1991,0.501,0.126,0.017,0.066,0.272,0.018,4.31,0.74,5.80,0.39
1992,0.510,0.128,0.017,0.059,0.267,0.019,4.12,0.77,5.59,0.40
1993,0.499,0.130,0.016,0.070,0.263,0.021,4.6,0.72,5.80,0.40
1994,0.479,0.137,0.017,0.079,0.267,0.021,4.92,0.71,6.18,0.38
1995,0.479,0.133,0.016,0.078,0.272,0.023,4.85,0.73,6.30,0.37
1996,0.477,0.134,0.014,0.083,0.269,0.023,5.04,0.71,6.46,0.34
1997,0.477,0.137,0.015,0.079,0.267,0.025,4.77,0.73,6.61,0.35
1998,0.476,0.140,0.014,0.081,0.263,0.025,4.79,0.68,6.56,0.35
1999,0.465,0.135,0.014,0.085,0.276,0.024,5.08,0.70,6.41,0.33
2000,0.457,0.137,0.015,0.088,0.280,0.024,5.14,0.60,6.45,0.34
2001,0.466,0.143,0.015,0.089,0.257,0.031,4.78,0.64,6.67,0.33
2002,0.467,0.142,0.015,0.083,0.265,0.028,4.62,0.57,6.47,0.34
2003,0.471,0.143,0.015,0.084,0.257,0.030,4.73,0.53,6.34,0.33
2004,0.467,0.142,0.014,0.087,0.259,0.030,4.81,0.53,6.55,0.36
2005,0.479,0.145,0.015,0.082,0.249,0.029,4.59,0.53,6.30,0.33
2006,0.472,0.146,0.015,0.086,0.253,0.029,4.86,0.57,6.52,0.34
2007,0.476,0.146,0.015,0.079,0.256,0.028,4.8,0.60,6.62,0.32
2008,0.471,0.145,0.014,0.079,0.264,0.027,4.65,0.58,6.77,0.31
2009,0.466,0.142,0.015,0.082,0.269,0.026,4.61,0.61,6.91,0.34
2010,0.477,0.142,0.014,0.077,0.263,0.026,4.38,0.61,7.06,0.32
2011,0.483,0.143,0.015,0.077,0.255,0.026,4.28,0.67,7.10,0.34
2012,0.480,0.142,0.016,0.085,0.252,0.026,4.32,0.66,7.50,0.30
2013,0.488,0.141,0.013,0.080,0.251,0.026,4.17,0.55,7.55,0.28
2014,0.496,0.142,0.015,0.073,0.245,0.029,4.07,0.57,7.70,0.28
2015,0.485,0.143,0.016,0.085,0.244,0.028,4.25,0.52,7.71,0.25
2016,0.467,0.140,0.015,0.095,0.256,0.028,4.48,0.52,8.03,0.21
2017,0.450,0.140,0.013,0.102,0.265,0.029,4.65,0.52,8.25,0.19
2018,0.449,0.141,0.014,0.095,0.268,0.033,4.45,0.51,8.48,0.17
2019,0.433,0.142,0.013,0.113,0.265,0.033,4.83,0.47,8.81,0.16
